iter	Passed	Remaining
0	0	76
1	1	72
2	2	67
3	2	61
4	3	60
5	3	59
6	4	59
7	5	58
8	5	57
9	6	56
10	6	56
11	7	55
12	8	54
13	8	54
14	9	53
15	10	52
16	10	52
17	11	52
18	12	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	40
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	32
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	55	12
81	55	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
