iter	Passed	Remaining
0	137	137440
1	138	69034
2	138	46191
3	139	34772
4	140	27919
5	140	23352
6	141	20111
7	142	17664
8	143	15766
9	143	14240
10	144	12995
11	145	11979
12	146	11134
13	147	10411
14	149	9797
15	149	9222
16	150	8709
17	151	8249
18	151	7846
19	152	7482
20	153	7154
21	154	6855
22	154	6578
23	155	6322
24	156	6091
25	156	5878
26	157	5677
27	158	5492
28	159	5324
29	159	5167
30	160	5028
31	161	4899
32	162	4769
33	163	4645
34	164	4527
35	164	4415
36	165	4309
37	166	4210
38	166	4113
39	167	4021
40	168	3933
41	168	3850
42	169	3773
43	170	3698
44	170	3626
45	171	3555
46	172	3487
47	172	3423
48	173	3366
49	174	3322
50	176	3284
51	177	3230
52	177	3177
53	178	3128
54	179	3078
55	179	3030
56	180	2985
57	181	2941
58	181	2898
59	182	2857
60	183	2817
61	183	2778
62	184	2739
63	184	2703
64	185	2669
65	186	2640
66	187	2614
67	188	2586
68	189	2558
69	190	2528
70	191	2499
71	191	2470
72	192	2441
73	192	2413
74	193	2386
75	194	2359
76	194	2333
77	195	2307
78	195	2283
79	196	2259
80	197	2235
81	197	2212
82	197	2187
83	198	2165
84	200	2153
85	201	2144
86	202	2129
87	204	2122
88	205	2103
89	206	2084
90	207	2068
91	207	2050
92	208	2032
93	208	2013
94	209	1995
95	210	1978
96	210	1961
97	211	1945
98	212	1929
99	212	1913
100	213	1897
101	213	1882
102	214	1868
103	215	1852
104	215	1839
105	216	1827
106	217	1815
107	218	1804
108	219	1791
109	219	1778
110	220	1765
111	221	1752
112	221	1740
113	222	1729
114	223	1717
115	223	1705
116	224	1692
117	224	1680
118	225	1669
119	226	1658
120	226	1647
121	227	1636
122	228	1625
123	228	1615
124	229	1604
125	229	1594
126	230	1585
127	231	1577
128	232	1570
129	233	1561
130	233	1551
131	234	1542
132	235	1533
133	235	1523
134	236	1514
135	237	1506
136	237	1497
137	238	1488
138	239	1480
139	239	1472
140	240	1463
141	240	1454
142	241	1446
143	241	1438
144	242	1430
145	243	1423
146	244	1416
147	244	1408
148	245	1402
149	246	1398
150	247	1391
151	248	1385
152	249	1378
153	249	1371
154	250	1364
155	250	1357
156	251	1351
157	252	1344
158	252	1337
159	253	1330
160	253	1322
161	254	1316
162	255	1309
163	255	1303
164	256	1297
165	257	1291
166	257	1285
167	258	1279
168	258	1273
169	259	1267
170	260	1261
171	260	1255
172	261	1250
173	262	1247
174	263	1242
175	264	1236
176	264	1231
177	265	1226
178	266	1220
179	266	1215
180	267	1210
181	268	1204
182	268	1199
183	269	1194
184	269	1189
185	270	1184
186	271	1179
187	272	1174
